,Questions,Ratings
1706,Staff responsiveness - star rating,2
1717,Communication about medicines - star rating,2
1727,Discharge information - star rating,2
1736,Care transition - star rating,2
1750,Cleanliness - star rating,2
1755,Quietness - star rating,3
1760,Overall hospital rating - star rating,2
1765,Recommend hospital - star rating,2
1766,Summary star rating,2
1771,Nurse communication - star rating,3
1785,Doctor communication - star rating,2
1799,Staff responsiveness - star rating,3
1810,Communication about medicines - star rating,3
1820,Discharge information - star rating,2
1829,Care transition - star rating,2
1843,Cleanliness - star rating,4
1848,Quietness - star rating,5
1853,Overall hospital rating - star rating,3
1858,Recommend hospital - star rating,3
1859,Summary star rating,3
1864,Nurse communication - star rating,4
1878,Doctor communication - star rating,3
1892,Staff responsiveness - star rating,3
1903,Communication about medicines - star rating,3
1913,Discharge information - star rating,4
1922,Care transition - star rating,3
1936,Cleanliness - star rating,4
1941,Quietness - star rating,4
1946,Overall hospital rating - star rating,4
1951,Recommend hospital - star rating,4
1952,Summary star rating,4
1957,Nurse communication - star rating,2
1971,Doctor communication - star rating,3
1985,Staff responsiveness - star rating,1
1996,Communication about medicines - star rating,2
2006,Discharge information - star rating,3
2015,Care transition - star rating,2
2029,Cleanliness - star rating,2
2034,Quietness - star rating,3
2039,Overall hospital rating - star rating,2
2044,Recommend hospital - star rating,2
2045,Summary star rating,2
2143,Nurse communication - star rating,4
2157,Doctor communication - star rating,5
2171,Staff responsiveness - star rating,3
2182,Communication about medicines - star rating,5
2192,Discharge information - star rating,4
2201,Care transition - star rating,4
2215,Cleanliness - star rating,5
2220,Quietness - star rating,5
2225,Overall hospital rating - star rating,4
2230,Recommend hospital - star rating,4
2231,Summary star rating,4
2236,Nurse communication - star rating,2
2250,Doctor communication - star rating,2
2264,Staff responsiveness - star rating,2
2275,Communication about medicines - star rating,2
2285,Discharge information - star rating,3
2294,Care transition - star rating,2
2308,Cleanliness - star rating,3
2313,Quietness - star rating,3
2318,Overall hospital rating - star rating,3
2323,Recommend hospital - star rating,3
2324,Summary star rating,2
2329,Nurse communication - star rating,3
2343,Doctor communication - star rating,3
2357,Staff responsiveness - star rating,2
2368,Communication about medicines - star rating,3
2378,Discharge information - star rating,4
2387,Care transition - star rating,3
2401,Cleanliness - star rating,3
2406,Quietness - star rating,4
2411,Overall hospital rating - star rating,3
2416,Recommend hospital - star rating,3
2417,Summary star rating,3
2608,Nurse communication - star rating,3
2622,Doctor communication - star rating,3
2636,Staff responsiveness - star rating,2
2647,Communication about medicines - star rating,3
2657,Discharge information - star rating,3
2666,Care transition - star rating,3
2680,Cleanliness - star rating,2
2685,Quietness - star rating,4
2690,Overall hospital rating - star rating,3
2695,Recommend hospital - star rating,4
2696,Summary star rating,3
2701,Nurse communication - star rating,3
2715,Doctor communication - star rating,4
2729,Staff responsiveness - star rating,3
2740,Communication about medicines - star rating,3
2750,Discharge information - star rating,4
2759,Care transition - star rating,3
2773,Cleanliness - star rating,3
2778,Quietness - star rating,4
2783,Overall hospital rating - star rating,4
2788,Recommend hospital - star rating,4
2789,Summary star rating,3
2980,Nurse communication - star rating,3
2994,Doctor communication - star rating,2
3008,Staff responsiveness - star rating,3
3019,Communication about medicines - star rating,2
3029,Discharge information - star rating,4
3038,Care transition - star rating,2
3052,Cleanliness - star rating,3
3057,Quietness - star rating,4
3062,Overall hospital rating - star rating,2
3067,Recommend hospital - star rating,2
3068,Summary star rating,3
3166,Nurse communication - star rating,4
3180,Doctor communication - star rating,3
3194,Staff responsiveness - star rating,4
3205,Communication about medicines - star rating,4
3215,Discharge information - star rating,4
3224,Care transition - star rating,4
3238,Cleanliness - star rating,4
3243,Quietness - star rating,4
3248,Overall hospital rating - star rating,4
3253,Recommend hospital - star rating,4
3254,Summary star rating,4
3259,Nurse communication - star rating,2
3273,Doctor communication - star rating,3
3287,Staff responsiveness - star rating,3
3298,Communication about medicines - star rating,3
3308,Discharge information - star rating,3
3317,Care transition - star rating,2
3331,Cleanliness - star rating,4
3336,Quietness - star rating,4
3341,Overall hospital rating - star rating,3
3346,Recommend hospital - star rating,3
3347,Summary star rating,3
3445,Nurse communication - star rating,2
3459,Doctor communication - star rating,2
3473,Staff responsiveness - star rating,2
3484,Communication about medicines - star rating,2
3494,Discharge information - star rating,2
3503,Care transition - star rating,2
3517,Cleanliness - star rating,2
3522,Quietness - star rating,3
3527,Overall hospital rating - star rating,2
3532,Recommend hospital - star rating,2
3533,Summary star rating,2
3538,Nurse communication - star rating,5
3552,Doctor communication - star rating,4
3566,Staff responsiveness - star rating,4
3577,Communication about medicines - star rating,4
3587,Discharge information - star rating,4
3596,Care transition - star rating,4
3610,Cleanliness - star rating,4
3615,Quietness - star rating,4
3620,Overall hospital rating - star rating,4
3625,Recommend hospital - star rating,4
3626,Summary star rating,4
3631,Nurse communication - star rating,4
3645,Doctor communication - star rating,4
3659,Staff responsiveness - star rating,4
3670,Communication about medicines - star rating,3
3680,Discharge information - star rating,4
3689,Care transition - star rating,4
3703,Cleanliness - star rating,4
3708,Quietness - star rating,4
3713,Overall hospital rating - star rating,4
3718,Recommend hospital - star rating,4
3719,Summary star rating,4
3724,Nurse communication - star rating,3
3738,Doctor communication - star rating,4
3752,Staff responsiveness - star rating,2
3763,Communication about medicines - star rating,2
3773,Discharge information - star rating,3
3782,Care transition - star rating,3
3796,Cleanliness - star rating,4
3801,Quietness - star rating,4
3806,Overall hospital rating - star rating,3
3811,Recommend hospital - star rating,3
3812,Summary star rating,3
3817,Nurse communication - star rating,3
3831,Doctor communication - star rating,4
3845,Staff responsiveness - star rating,3
3856,Communication about medicines - star rating,4
3866,Discharge information - star rating,4
3875,Care transition - star rating,3
3889,Cleanliness - star rating,2
3894,Quietness - star rating,4
3899,Overall hospital rating - star rating,3
3904,Recommend hospital - star rating,3
3905,Summary star rating,3
3910,Nurse communication - star rating,2
3924,Doctor communication - star rating,3
3938,Staff responsiveness - star rating,3
3949,Communication about medicines - star rating,3
3959,Discharge information - star rating,3
3968,Care transition - star rating,3
3982,Cleanliness - star rating,2
3987,Quietness - star rating,3
3992,Overall hospital rating - star rating,3
3997,Recommend hospital - star rating,4
3998,Summary star rating,3
4003,Nurse communication - star rating,3
4017,Doctor communication - star rating,3
4031,Staff responsiveness - star rating,2
4042,Communication about medicines - star rating,2
4052,Discharge information - star rating,2
4061,Care transition - star rating,2
4075,Cleanliness - star rating,1
4080,Quietness - star rating,3
4085,Overall hospital rating - star rating,2
4090,Recommend hospital - star rating,2
4091,Summary star rating,2
4096,Nurse communication - star rating,2
4110,Doctor communication - star rating,3
4124,Staff responsiveness - star rating,4
4135,Communication about medicines - star rating,3
4145,Discharge information - star rating,3
4154,Care transition - star rating,3
4168,Cleanliness - star rating,3
4173,Quietness - star rating,3
4178,Overall hospital rating - star rating,3
4183,Recommend hospital - star rating,3
4184,Summary star rating,3
4282,Nurse communication - star rating,2
4296,Doctor communication - star rating,3
4310,Staff responsiveness - star rating,1
4321,Communication about medicines - star rating,2
4331,Discharge information - star rating,3
4340,Care transition - star rating,2
4354,Cleanliness - star rating,1
4359,Quietness - star rating,3
4364,Overall hospital rating - star rating,2
4369,Recommend hospital - star rating,2
4370,Summary star rating,2
4561,Nurse communication - star rating,3
4575,Doctor communication - star rating,4
4589,Staff responsiveness - star rating,4
4600,Communication about medicines - star rating,3
4610,Discharge information - star rating,2
4619,Care transition - star rating,3
4633,Cleanliness - star rating,3
4638,Quietness - star rating,4
4643,Overall hospital rating - star rating,3
4648,Recommend hospital - star rating,2
4649,Summary star rating,3
4654,Nurse communication - star rating,3
4668,Doctor communication - star rating,3
4682,Staff responsiveness - star rating,3
4693,Communication about medicines - star rating,4
4703,Discharge information - star rating,4
4712,Care transition - star rating,4
4726,Cleanliness - star rating,3
4731,Quietness - star rating,3
4736,Overall hospital rating - star rating,4
4741,Recommend hospital - star rating,4
4742,Summary star rating,4
4747,Nurse communication - star rating,2
4761,Doctor communication - star rating,2
4775,Staff responsiveness - star rating,3
4786,Communication about medicines - star rating,4
4796,Discharge information - star rating,2
4805,Care transition - star rating,2
4819,Cleanliness - star rating,3
4824,Quietness - star rating,4
4829,Overall hospital rating - star rating,2
4834,Recommend hospital - star rating,2
4835,Summary star rating,3
4933,Nurse communication - star rating,3
4947,Doctor communication - star rating,4
4961,Staff responsiveness - star rating,3
4972,Communication about medicines - star rating,3
4982,Discharge information - star rating,3
4991,Care transition - star rating,3
5005,Cleanliness - star rating,2
5010,Quietness - star rating,4
5015,Overall hospital rating - star rating,3
5020,Recommend hospital - star rating,3
5021,Summary star rating,3
5026,Nurse communication - star rating,3
5040,Doctor communication - star rating,4
5054,Staff responsiveness - star rating,2
5065,Communication about medicines - star rating,2
5075,Discharge information - star rating,4
5084,Care transition - star rating,3
5098,Cleanliness - star rating,1
5103,Quietness - star rating,4
5108,Overall hospital rating - star rating,4
5113,Recommend hospital - star rating,4
5114,Summary star rating,3
5119,Nurse communication - star rating,5
5133,Doctor communication - star rating,4
5147,Staff responsiveness - star rating,4
5158,Communication about medicines - star rating,4
5168,Discharge information - star rating,4
5177,Care transition - star rating,4
5191,Cleanliness - star rating,4
5196,Quietness - star rating,4
5201,Overall hospital rating - star rating,4
5206,Recommend hospital - star rating,4
5207,Summary star rating,4
5305,Nurse communication - star rating,2
5319,Doctor communication - star rating,4
5333,Staff responsiveness - star rating,2
5344,Communication about medicines - star rating,3
5354,Discharge information - star rating,3
5363,Care transition - star rating,3
5377,Cleanliness - star rating,2
5382,Quietness - star rating,4
5387,Overall hospital rating - star rating,2
5392,Recommend hospital - star rating,3
5393,Summary star rating,3
5398,Nurse communication - star rating,2
5412,Doctor communication - star rating,4
5426,Staff responsiveness - star rating,3
5437,Communication about medicines - star rating,3
5447,Discharge information - star rating,3
5456,Care transition - star rating,3
5470,Cleanliness - star rating,3
5475,Quietness - star rating,3
5480,Overall hospital rating - star rating,3
5485,Recommend hospital - star rating,3
5486,Summary star rating,3
5491,Nurse communication - star rating,3
5505,Doctor communication - star rating,4
5519,Staff responsiveness - star rating,2
5530,Communication about medicines - star rating,3
5540,Discharge information - star rating,3
5549,Care transition - star rating,3
5563,Cleanliness - star rating,2
5568,Quietness - star rating,3
5573,Overall hospital rating - star rating,3
5578,Recommend hospital - star rating,3
5579,Summary star rating,3
5584,Nurse communication - star rating,1
5598,Doctor communication - star rating,3
5612,Staff responsiveness - star rating,1
5623,Communication about medicines - star rating,2
5633,Discharge information - star rating,2
5642,Care transition - star rating,1
5656,Cleanliness - star rating,2
5661,Quietness - star rating,3
5666,Overall hospital rating - star rating,1
5671,Recommend hospital - star rating,1
5672,Summary star rating,2
5677,Nurse communication - star rating,5
5691,Doctor communication - star rating,4
5705,Staff responsiveness - star rating,4
5716,Communication about medicines - star rating,5
5726,Discharge information - star rating,5
5735,Care transition - star rating,3
5749,Cleanliness - star rating,5
5754,Quietness - star rating,4
5759,Overall hospital rating - star rating,4
5764,Recommend hospital - star rating,4
5765,Summary star rating,4
5770,Nurse communication - star rating,5
5784,Doctor communication - star rating,4
5798,Staff responsiveness - star rating,4
5809,Communication about medicines - star rating,4
5819,Discharge information - star rating,4
5828,Care transition - star rating,3
5842,Cleanliness - star rating,5
5847,Quietness - star rating,4
5852,Overall hospital rating - star rating,4
5857,Recommend hospital - star rating,4
5858,Summary star rating,4
5863,Nurse communication - star rating,3
5877,Doctor communication - star rating,4
5891,Staff responsiveness - star rating,4
5902,Communication about medicines - star rating,3
5912,Discharge information - star rating,4
5921,Care transition - star rating,3
5935,Cleanliness - star rating,4
5940,Quietness - star rating,4
5945,Overall hospital rating - star rating,3
5950,Recommend hospital - star rating,3
5951,Summary star rating,4
6049,Nurse communication - star rating,4
6063,Doctor communication - star rating,4
6077,Staff responsiveness - star rating,4
6088,Communication about medicines - star rating,4
6098,Discharge information - star rating,4
6107,Care transition - star rating,4
6121,Cleanliness - star rating,4
6126,Quietness - star rating,4
6131,Overall hospital rating - star rating,4
6136,Recommend hospital - star rating,4
6137,Summary star rating,4
6142,Nurse communication - star rating,3
6156,Doctor communication - star rating,4
6170,Staff responsiveness - star rating,3
6181,Communication about medicines - star rating,3
6191,Discharge information - star rating,4
6200,Care transition - star rating,3
6214,Cleanliness - star rating,3
6219,Quietness - star rating,4
6224,Overall hospital rating - star rating,3
6229,Recommend hospital - star rating,4
6230,Summary star rating,3
6235,Nurse communication - star rating,3
6249,Doctor communication - star rating,4
6263,Staff responsiveness - star rating,2
6274,Communication about medicines - star rating,2
6284,Discharge information - star rating,3
6293,Care transition - star rating,3
6307,Cleanliness - star rating,3
6312,Quietness - star rating,4
6317,Overall hospital rating - star rating,3
6322,Recommend hospital - star rating,3
6323,Summary star rating,3
6421,Nurse communication - star rating,2
6435,Doctor communication - star rating,4
6449,Staff responsiveness - star rating,2
6460,Communication about medicines - star rating,2
6470,Discharge information - star rating,2
6479,Care transition - star rating,2
6493,Cleanliness - star rating,2
6498,Quietness - star rating,3
6503,Overall hospital rating - star rating,3
6508,Recommend hospital - star rating,3
6509,Summary star rating,2
6514,Nurse communication - star rating,2
6528,Doctor communication - star rating,3
6542,Staff responsiveness - star rating,3
6553,Communication about medicines - star rating,3
6563,Discharge information - star rating,4
6572,Care transition - star rating,3
6586,Cleanliness - star rating,2
6591,Quietness - star rating,3
6596,Overall hospital rating - star rating,3
6601,Recommend hospital - star rating,3
6602,Summary star rating,3
6607,Nurse communication - star rating,4
6621,Doctor communication - star rating,5
6635,Staff responsiveness - star rating,3
6646,Communication about medicines - star rating,4
6656,Discharge information - star rating,3
6665,Care transition - star rating,4
6679,Cleanliness - star rating,3
6684,Quietness - star rating,4
6689,Overall hospital rating - star rating,3
6694,Recommend hospital - star rating,3
6695,Summary star rating,4
6700,Nurse communication - star rating,3
6714,Doctor communication - star rating,3
6728,Staff responsiveness - star rating,3
6739,Communication about medicines - star rating,3
6749,Discharge information - star rating,4
6758,Care transition - star rating,3
6772,Cleanliness - star rating,3
6777,Quietness - star rating,3
6782,Overall hospital rating - star rating,4
6787,Recommend hospital - star rating,4
6788,Summary star rating,3
6793,Nurse communication - star rating,4
6807,Doctor communication - star rating,5
6821,Staff responsiveness - star rating,3
6832,Communication about medicines - star rating,4
6842,Discharge information - star rating,3
6851,Care transition - star rating,4
6865,Cleanliness - star rating,3
6870,Quietness - star rating,4
6875,Overall hospital rating - star rating,4
6880,Recommend hospital - star rating,4
6881,Summary star rating,4
7072,Nurse communication - star rating,2
7086,Doctor communication - star rating,4
7100,Staff responsiveness - star rating,3
7111,Communication about medicines - star rating,2
7121,Discharge information - star rating,2
7130,Care transition - star rating,3
7144,Cleanliness - star rating,3
7149,Quietness - star rating,4
7154,Overall hospital rating - star rating,2
7159,Recommend hospital - star rating,2
7160,Summary star rating,3
7165,Nurse communication - star rating,2
7179,Doctor communication - star rating,3
7193,Staff responsiveness - star rating,2
7204,Communication about medicines - star rating,3
7214,Discharge information - star rating,4
7223,Care transition - star rating,3
7237,Cleanliness - star rating,3
7242,Quietness - star rating,4
7247,Overall hospital rating - star rating,3
7252,Recommend hospital - star rating,2
7253,Summary star rating,3
7258,Nurse communication - star rating,5
7272,Doctor communication - star rating,5
7286,Staff responsiveness - star rating,5
7297,Communication about medicines - star rating,5
7307,Discharge information - star rating,4
7316,Care transition - star rating,4
7330,Cleanliness - star rating,4
7335,Quietness - star rating,5
7340,Overall hospital rating - star rating,5
7345,Recommend hospital - star rating,5
7346,Summary star rating,5
7351,Nurse communication - star rating,3
7365,Doctor communication - star rating,4
7379,Staff responsiveness - star rating,2
7390,Communication about medicines - star rating,3
7400,Discharge information - star rating,3
7409,Care transition - star rating,3
7423,Cleanliness - star rating,2
7428,Quietness - star rating,4
7433,Overall hospital rating - star rating,3
7438,Recommend hospital - star rating,2
7439,Summary star rating,3
7444,Nurse communication - star rating,5
7458,Doctor communication - star rating,4
7472,Staff responsiveness - star rating,5
7483,Communication about medicines - star rating,5
7493,Discharge information - star rating,4
7502,Care transition - star rating,4
7516,Cleanliness - star rating,1
7521,Quietness - star rating,5
7526,Overall hospital rating - star rating,4
7531,Recommend hospital - star rating,5
7532,Summary star rating,4
7537,Nurse communication - star rating,5
7551,Doctor communication - star rating,5
7565,Staff responsiveness - star rating,5
7576,Communication about medicines - star rating,5
7586,Discharge information - star rating,3
7595,Care transition - star rating,4
7609,Cleanliness - star rating,5
7614,Quietness - star rating,5
7619,Overall hospital rating - star rating,5
7624,Recommend hospital - star rating,5
7625,Summary star rating,5
7723,Nurse communication - star rating,3
7737,Doctor communication - star rating,4
7751,Staff responsiveness - star rating,3
7762,Communication about medicines - star rating,3
7772,Discharge information - star rating,2
7781,Care transition - star rating,2
7795,Cleanliness - star rating,3
7800,Quietness - star rating,5
7805,Overall hospital rating - star rating,2
7810,Recommend hospital - star rating,2
7811,Summary star rating,3
8188,Nurse communication - star rating,5
8202,Doctor communication - star rating,4
8216,Staff responsiveness - star rating,5
8227,Communication about medicines - star rating,5
8237,Discharge information - star rating,4
8246,Care transition - star rating,5
8260,Cleanliness - star rating,5
8265,Quietness - star rating,4
8270,Overall hospital rating - star rating,5
8275,Recommend hospital - star rating,5
8276,Summary star rating,5
8560,Nurse communication - star rating,3
8574,Doctor communication - star rating,3
8588,Staff responsiveness - star rating,3
8599,Communication about medicines - star rating,3
8609,Discharge information - star rating,4
8618,Care transition - star rating,3
8632,Cleanliness - star rating,4
8637,Quietness - star rating,2
8642,Overall hospital rating - star rating,4
8647,Recommend hospital - star rating,4
8648,Summary star rating,3
8653,Nurse communication - star rating,3
8667,Doctor communication - star rating,3
8681,Staff responsiveness - star rating,3
8692,Communication about medicines - star rating,3
8702,Discharge information - star rating,4
8711,Care transition - star rating,2
8725,Cleanliness - star rating,4
8730,Quietness - star rating,3
8735,Overall hospital rating - star rating,3
8740,Recommend hospital - star rating,3
8741,Summary star rating,3
8746,Nurse communication - star rating,4
8760,Doctor communication - star rating,3
8774,Staff responsiveness - star rating,3
8785,Communication about medicines - star rating,4
8795,Discharge information - star rating,3
8804,Care transition - star rating,3
8818,Cleanliness - star rating,3
8823,Quietness - star rating,2
8828,Overall hospital rating - star rating,3
8833,Recommend hospital - star rating,4
8834,Summary star rating,3
8839,Nurse communication - star rating,4
8853,Doctor communication - star rating,4
8867,Staff responsiveness - star rating,4
8878,Communication about medicines - star rating,3
8888,Discharge information - star rating,4
8897,Care transition - star rating,4
8911,Cleanliness - star rating,4
8916,Quietness - star rating,4
8921,Overall hospital rating - star rating,4
8926,Recommend hospital - star rating,4
8927,Summary star rating,4
8932,Nurse communication - star rating,3
8946,Doctor communication - star rating,3
8960,Staff responsiveness - star rating,3
8971,Communication about medicines - star rating,3
8981,Discharge information - star rating,4
8990,Care transition - star rating,3
9004,Cleanliness - star rating,4
9009,Quietness - star rating,3
9014,Overall hospital rating - star rating,3
9019,Recommend hospital - star rating,4
9020,Summary star rating,3
9025,Nurse communication - star rating,3
9039,Doctor communication - star rating,4
9053,Staff responsiveness - star rating,3
9064,Communication about medicines - star rating,4
9074,Discharge information - star rating,3
9083,Care transition - star rating,1
9097,Cleanliness - star rating,3
9102,Quietness - star rating,3
9107,Overall hospital rating - star rating,3
9112,Recommend hospital - star rating,4
9113,Summary star rating,3
9118,Nurse communication - star rating,3
9132,Doctor communication - star rating,3
9146,Staff responsiveness - star rating,3
9157,Communication about medicines - star rating,3
9167,Discharge information - star rating,4
9176,Care transition - star rating,3
9190,Cleanliness - star rating,4
9195,Quietness - star rating,3
9200,Overall hospital rating - star rating,4
9205,Recommend hospital - star rating,4
9206,Summary star rating,3
9211,Nurse communication - star rating,2
9225,Doctor communication - star rating,3
9239,Staff responsiveness - star rating,3
9250,Communication about medicines - star rating,3
9260,Discharge information - star rating,3
9269,Care transition - star rating,2
9283,Cleanliness - star rating,3
9288,Quietness - star rating,2
9293,Overall hospital rating - star rating,3
9298,Recommend hospital - star rating,3
9299,Summary star rating,3
9304,Nurse communication - star rating,4
9318,Doctor communication - star rating,4
9332,Staff responsiveness - star rating,4
9343,Communication about medicines - star rating,5
9353,Discharge information - star rating,5
9362,Care transition - star rating,5
9376,Cleanliness - star rating,4
9381,Quietness - star rating,3
9386,Overall hospital rating - star rating,4
9391,Recommend hospital - star rating,4
9392,Summary star rating,4
9397,Nurse communication - star rating,2
9411,Doctor communication - star rating,3
9425,Staff responsiveness - star rating,3
9436,Communication about medicines - star rating,4
9446,Discharge information - star rating,3
9455,Care transition - star rating,3
9469,Cleanliness - star rating,4
9474,Quietness - star rating,3
9479,Overall hospital rating - star rating,2
9484,Recommend hospital - star rating,2
9485,Summary star rating,3
10513,Nurse communication - star rating,3
10527,Doctor communication - star rating,3
10541,Staff responsiveness - star rating,3
10552,Communication about medicines - star rating,4
10562,Discharge information - star rating,4
10571,Care transition - star rating,3
10585,Cleanliness - star rating,5
10590,Quietness - star rating,3
10595,Overall hospital rating - star rating,4
10600,Recommend hospital - star rating,4
10601,Summary star rating,4
10699,Nurse communication - star rating,2
10713,Doctor communication - star rating,3
10727,Staff responsiveness - star rating,3
10738,Communication about medicines - star rating,3
10748,Discharge information - star rating,3
10757,Care transition - star rating,2
10771,Cleanliness - star rating,3
10776,Quietness - star rating,2
10781,Overall hospital rating - star rating,3
10786,Recommend hospital - star rating,3
10787,Summary star rating,3
10792,Nurse communication - star rating,2
10806,Doctor communication - star rating,3
10820,Staff responsiveness - star rating,2
10831,Communication about medicines - star rating,2
10841,Discharge information - star rating,3
10850,Care transition - star rating,2
10864,Cleanliness - star rating,2
10869,Quietness - star rating,1
10874,Overall hospital rating - star rating,3
10879,Recommend hospital - star rating,4
10880,Summary star rating,2
10885,Nurse communication - star rating,2
10899,Doctor communication - star rating,3
10913,Staff responsiveness - star rating,3
10924,Communication about medicines - star rating,2
10934,Discharge information - star rating,4
10943,Care transition - star rating,2
10957,Cleanliness - star rating,4
10962,Quietness - star rating,3
10967,Overall hospital rating - star rating,2
10972,Recommend hospital - star rating,3
10973,Summary star rating,3
10978,Nurse communication - star rating,2
10992,Doctor communication - star rating,3
11006,Staff responsiveness - star rating,2
11017,Communication about medicines - star rating,2
11027,Discharge information - star rating,3
11036,Care transition - star rating,2
11050,Cleanliness - star rating,2
11055,Quietness - star rating,1
11060,Overall hospital rating - star rating,2
11065,Recommend hospital - star rating,2
11066,Summary star rating,2
11071,Nurse communication - star rating,2
11085,Doctor communication - star rating,2
11099,Staff responsiveness - star rating,2
11110,Communication about medicines - star rating,2
11120,Discharge information - star rating,3
11129,Care transition - star rating,2
11143,Cleanliness - star rating,3
11148,Quietness - star rating,1
11153,Overall hospital rating - star rating,2
11158,Recommend hospital - star rating,2
11159,Summary star rating,2
11164,Nurse communication - star rating,3
11178,Doctor communication - star rating,2
11192,Staff responsiveness - star rating,3
11203,Communication about medicines - star rating,2
11213,Discharge information - star rating,3
11222,Care transition - star rating,2
11236,Cleanliness - star rating,3
11241,Quietness - star rating,1
11246,Overall hospital rating - star rating,3
11251,Recommend hospital - star rating,3
11252,Summary star rating,3
11257,Nurse communication - star rating,2
11271,Doctor communication - star rating,2
11285,Staff responsiveness - star rating,2
